sample_id,target_stack_compatible,record_count,welding_time_ms,nominal_inclusive_count_at_10hz,count_gap_from_nominal_hypothesis,record_index_strictly_increasing,invalid_current_count,invalid_force_count,current_mean_a,current_rms_a,current_jensen_ratio,force_min_stored,force_mean_positive_stored,force_max_stored
60,True,10,1000.0,11,-1,True,0,0,3382.0370000000003,3442.22085562359,1.0359069673051637,96.29,96.606,97.12
61,True,11,1000.0,11,0,True,0,0,3097.6427272727274,3175.6346012626145,1.0509895513531502,96.35,98.5281818181818,100.69
62,True,10,1000.0,11,-1,True,0,0,3285.5769999999998,3365.8726812329073,1.04947493105259,100.91,101.701,102.21
64,True,11,1000.0,11,0,True,0,0,3061.5163636363636,3143.366946461881,1.0541853926245406,100.04,101.60181818181817,103.17
65,True,10,1000.0,11,-1,True,0,0,3408.3290000000006,3445.6663593926214,1.02202948713713,103.48,104.60900000000001,105.11
66,True,10,1000.0,11,-1,True,0,0,3249.825,3299.0371413565504,1.0305153363015869,104.78,104.91899999999998,105.04
67,True,11,1000.0,11,0,True,0,0,3023.9172727272726,3115.6891993221543,1.0616184220982896,104.09,104.36181818181818,104.74
70,True,11,1000.0,11,0,True,0,0,3083.9254545454537,3144.661864640978,1.0397768999348542,103.65,103.81636363636363,104.06
71,True,10,1000.0,11,-1,True,0,0,3034.822,3096.862762109422,1.0413038462854922,104.11,104.484,104.82
72,True,11,1000.0,11,0,True,0,0,2972.8454545454547,3040.9720591523783,1.0463577473893633,104.87,105.28272727272726,105.59
73,True,11,1000.0,11,0,True,0,0,2936.4527272727278,3012.92267589281,1.052761379799955,105.62,105.7590909090909,105.81
75,True,11,1000.0,11,0,True,0,0,2888.1709090909094,2957.821529904,1.0488132206037686,105.26,105.3281818181818,105.41
77,True,11,1000.0,11,0,True,0,0,2840.6363636363635,2883.6212544047016,1.0304932499571997,105.76,106.10090909090908,106.34
79,True,11,1000.0,11,0,True,0,0,2559.9936363636366,2623.430254337387,1.0501740289168497,106.36,106.37909090909092,106.4
80,True,11,1000.0,11,0,True,0,0,2718.406363636364,2805.903401750414,1.0654097694423286,106.42,106.60545454545453,106.65
81,True,10,1000.0,11,-1,True,0,0,2707.2070000000003,2795.7530954521003,1.0664848740151234,106.31,106.50900000000001,106.6
82,True,11,1000.0,11,0,True,0,0,2595.8281818181817,2678.81103084423,1.0649574868661995,106.22,106.24636363636364,106.29
83,True,11,1000.0,11,0,True,0,0,2528.441818181818,2621.6421614393453,1.075080281739978,106.23,106.33545454545455,106.46
85,True,8,800.0,9,-1,True,0,0,2996.21375,3082.736666780427,1.058588741204642,114.11,114.6225,115.23
86,True,8,800.0,9,-1,True,0,0,3199.9175,3244.413130694825,1.0280038419586621,113.22,114.345,115.45
